PowerCapacity	Unit	Zone	Technology	Fuel	Efficiency	MinUpTime	MinDownTime	RampUpRate	RampDownRate	StartUpCost	NoLoadCost	RampingCost	PartLoadMin	MinEfficiency	StartUpTime	CO2Intensity	CHPType	CHPPowerToHeat	STOCapacity	STOSelfDischarge	STOMaxChargingPower	STOChargingEfficiency	id
435	GKM _BNA0646a	DE	STUR	HRD	0.4075	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		500					BNA0646a
843	GKM _BNA0646b	DE	STUR	HRD	0.4625	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		500					BNA0646b
120	Kraftwerk I_BNA0662b	DE	COMC	HRD	0.2655	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		285.8598726					BNA0662b
55.3	Kraftwerk I  _BNA0660	DE	COMC	HRD	0.4095	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		131.733758					BNA0660
60.2	Kraftwerk I _BNA0662a	DE	COMC	HRD	0.4635	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		143.4063694					BNA0662a
54	Heizkraftwerk Offenbach_BNA0758	DE	STUR	HRD	0.4	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0758
875	Heyden_BNA0793	DE	STUR	HRD	0.3925	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0793
26.9	Heizkraftwerk Pforzheim GmbH_BNA0801	DE	STUR	HRD	0.4	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0801
655.6	Weiher_BNA0820	DE	STUR	HRD	0.365	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		30					BNA0820
514	KNG Kraftwerk Rostock_BNA0849	DE	STUR	HRD	0.41	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		150					BNA0849
50	HKW Römerbrücke_BNA0861b	DE	STUR	HRD	0.4375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		94					BNA0861b
24.8	Heizkraftwerk der Sappi Stockstadt GmbH_BNA0926b	DE	STUR	HRD	0.3475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0926b
22.6	Heizkraftwerk Stuttgart-Gaisburg_BNA0934	DE	STUR	HRD	0.4475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0934
45	Restmüll-Heizkraftwerk Stuttgart-Münster_BNA0935	DE	STUR	HRD	0.38	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		183.6986301					BNA0935
45	Restmüll-Heizkraftwerk Stuttgart-Münster_BNA0936	DE	STUR	HRD	0.385	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		183.6986301					BNA0936
40	Werk Uelzen_BNA1500	DE	STUR	HRD	0.4	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1500
20.7	Heizkraftwerk Magirusstraße_BNA1405a	DE	STUR	HRD	0.37	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1405a
332.7	Nord 2_BNA0969b	DE	STUR	HRD	0.4025	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		550					BNA0969b
179	Modellkraftwerk_BNA0998	DE	STUR	HRD	0.38	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		210					BNA0998
211	Heizkraftwerk_BNA0999	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		185					BNA0999
96	Kraftwerk Walheim_BNA1005	DE	STUR	HRD	0.4525	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1005
148	Kraftwerk Walheim_BNA1006	DE	STUR	HRD	0.4525	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1006
123	Wedel_BNA0403	DE	STUR	HRD	0.4075	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0403
137	Wedel_BNA0404	DE	STUR	HRD	0.4075	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		423					BNA0404
310	Kraftwerk Werdohl-Elverlingsen_BNA1037	DE	STUR	HRD	0.38	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1037
614	Gersteinwerk_BNA1046a	DE	STUR	HRD	0.385	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1046a
757	Wilhelmshaven_BNA1061	DE	STUR	HRD	0.365	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1061
731	Kraftwerk Wilhelmshaven_BNA1674	DE	STUR	HRD	0.4625	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1674
61.5	HKW Nord_BNA1075a	DE	STUR	HRD	0.425	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		377.5					BNA1075a
61.5	HKW Nord_BNA1075b	DE	STUR	HRD	0.425	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		377.5					BNA1075b
138.5	HKW West_BNA1076a	DE	STUR	HRD	0.3875	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		140					BNA1076a
138.5	HKW West_BNA1076b	DE	STUR	HRD	0.3875	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		140					BNA1076b
85	HKW Elberfeld _BNA1084	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		201					BNA1084
472	Zolling_BNA1093	DE	STUR	HRD	0.4525	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		150					BNA1093
152	Westfalen_BNA0414	DE	STUR	HRD	0.3325	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0414
152	Westfalen_BNA0415	DE	STUR	HRD	0.3325	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0415
133	HKW II/B_BNA0212	DE	STUR	HRD	0.3375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0212
293	Staudinger_BNA0376	DE	STUR	HRD	0.35	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0376
93	Kraftwerk Veltheim_BNA0812	DE	STUR	HRD	0.3375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0812
28	Papierfabrik Albbruck_BNA0011	DE	STUR	HRD	0.4475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0011
