,PHOT,WTOF,WTON,HROR
2015-01-10 17:00:00+00:00,0,0.07876352,0.76317748,0.369425011
2015-01-10 18:00:00+00:00,0,0.088439646,0.752224256,0.369588981
2015-01-10 19:00:00+00:00,0,0.102243656,0.736736006,0.369315697
2015-01-10 20:00:00+00:00,0,0.103515002,0.718730828,0.368277219
2015-01-10 21:00:00+00:00,0,0.125429536,0.688639116,0.366473546
2015-01-10 22:00:00+00:00,0,0.155739055,0.671654057,0.362155662
2015-01-10 23:00:00+00:00,0,0.174797561,0.653465458,0.344228247
2015-01-11 00:00:00+00:00,0,0.164247995,0.648492408,0.342041976
2015-01-11 01:00:00+00:00,0,0.168358745,0.630249767,0.34012899
2015-01-11 02:00:00+00:00,0,0.190398259,0.625140261,0.338653258
2015-01-11 03:00:00+00:00,0,0.219548018,0.630892664,0.338598601
2015-01-11 04:00:00+00:00,0,0.232472972,0.63652866,0.339309139
2015-01-11 05:00:00+00:00,0,0.21694349,0.665877978,0.340948841
2015-01-11 06:00:00+00:00,0,0.23427556,0.682491169,0.338216003
2015-01-11 07:00:00+00:00,0.003316702,0.250324187,0.710683435,0.339254482
2015-01-11 08:00:00+00:00,0.028791525,0.218727018,0.717002306,0.357619152
2015-01-11 09:00:00+00:00,0.066159206,0.221406412,0.736999928,0.363303454
2015-01-11 10:00:00+00:00,0.091392231,0.239300824,0.749521657,0.365380411
2015-01-11 11:00:00+00:00,0.110447333,0.172456087,0.765380716,0.366801487
2015-01-11 12:00:00+00:00,0.106694622,0.190065671,0.76717795,0.36505247
2015-01-11 13:00:00+00:00,0.081059087,0.174695032,0.773960902,0.362647573
2015-01-11 14:00:00+00:00,0.03817758,0.210921003,0.763208285,0.361882379
2015-01-11 15:00:00+00:00,0.004810702,0.241738979,0.755328258,0.360898557
2015-01-11 16:00:00+00:00,0.000113902,0.259761249,0.765065522,0.35865763
2015-01-11 17:00:00+00:00,0,0.272381254,0.762684123,0.359258854
2015-01-11 18:00:00+00:00,0,0.274627128,0.764549652,0.359313511
2015-01-11 19:00:00+00:00,0,0.275736163,0.747711276,0.358056406
2015-01-11 20:00:00+00:00,0,0.276134721,0.719979272,0.357837779
2015-01-11 21:00:00+00:00,0,0.276675227,0.683296184,0.357181898
2015-01-11 22:00:00+00:00,0,0.276079505,0.667915814,0.355542195
2015-01-11 23:00:00+00:00,0,0.278749902,0.660803413,0.353902492
